iter	MultiClass
151	0.7064361155
152	0.7064043047
153	0.7063442637
154	0.7062278062
155	0.7061434502
156	0.7060894479
157	0.7060437088
158	0.7059865425
159	0.7059043412
160	0.7058325284
161	0.7057673052
162	0.7057460848
163	0.7056989962
164	0.7056282783
165	0.7055747873
166	0.7055164062
167	0.7054433911
168	0.7053986128
169	0.7053514664
170	0.7053063603
171	0.7052926878
172	0.70524159
173	0.7051892165
174	0.7051263537
175	0.7050732848
176	0.7050499702
177	0.7049988942
178	0.7049775446
179	0.7049558652
180	0.704914838
181	0.7048897734
182	0.7048301177
183	0.7047928431
184	0.7047832391
185	0.7047526758
186	0.7047208529
187	0.7046690331
188	0.7046230627
189	0.7045755679
190	0.704535774
191	0.7044548498
192	0.7044183693
193	0.7043682652
194	0.7043372377
195	0.704310055
196	0.7042909695
197	0.7042582965
198	0.704233163
199	0.7042190093
200	0.704193535
201	0.7041391458
202	0.7040979456
203	0.7040895982
204	0.7040241883
205	0.7040141504
206	0.7039919204
207	0.7039479722
208	0.703936387
209	0.7039014912
210	0.7038811743
211	0.7038447977
212	0.7037926452
213	0.7037469792
214	0.7037089652
215	0.7036721891
216	0.703639702
217	0.7036140907
218	0.7036025438
219	0.7036009558
220	0.7035661382
221	0.7035378693
222	0.7034770346
223	0.7034347181
224	0.7034117202
225	0.703395541
226	0.7033439127
227	0.7033272494
228	0.7032874731
229	0.7032693385
230	0.703256363
231	0.7032428177
232	0.703211693
233	0.703150334
234	0.7031353129
235	0.7031174625
236	0.7030765695
237	0.7030508866
238	0.7030469172
239	0.7029763213
240	0.7029179555
241	0.7028741124
242	0.702849154
243	0.7028229176
244	0.7027994861
245	0.7027741501
246	0.7027319502
247	0.7026765099
248	0.7026452819
249	0.7026218238
250	0.7025526282
251	0.7025318164
252	0.7025191927
253	0.7025056056
254	0.702495617
255	0.7024583046
256	0.702441401
257	0.7024346295
258	0.7023899645
259	0.7023662458
260	0.7023423127
261	0.7023278365
262	0.7023052034
263	0.7022827651
264	0.7022655241
265	0.7022491651
266	0.7022373259
267	0.7022223941
268	0.7021880468
269	0.7021491052
270	0.7021481591
271	0.7021287257
272	0.7021087786
273	0.7021005073
274	0.7020794473
275	0.7020596379
276	0.7020302715
277	0.7020030849
278	0.701988018
279	0.7019541245
280	0.701927143
281	0.7019078214
282	0.7018470483
283	0.7018209863
284	0.7017948525
285	0.70175623
286	0.7017281576
287	0.7016974725
288	0.7016501574
289	0.7015960742
290	0.7015690917
291	0.7015578224
292	0.7015440692
293	0.7015218706
294	0.7014957643
295	0.7014880433
296	0.7014815954
297	0.7014583699
298	0.7014363273
299	0.7014220945
300	0.7014051464
301	0.7013743011
302	0.7013597932
303	0.7013497878
304	0.7013288203
305	0.7013122237
306	0.7013023615
307	0.7012807235
308	0.7012527825
309	0.7012375169
310	0.7012221479
311	0.7011884491
312	0.7011687846
313	0.7011309659
314	0.7011217664
315	0.7010882979
316	0.7010803622
317	0.7010517469
318	0.7010339924
319	0.7010297981
320	0.70100174
321	0.7009736369
322	0.700953264
323	0.7009405819
324	0.7009084299
325	0.7008716852
326	0.700861227
327	0.7008170964
328	0.7007712738
329	0.7007541341
330	0.7006832555
331	0.7006562487
332	0.7006379111
333	0.7006298083
334	0.7006012815
335	0.7005666474
336	0.7005459761
337	0.7005289977
338	0.7005138382
339	0.7004652979
340	0.7004492712
341	0.7004133351
342	0.7003930278
343	0.7003777629
344	0.7003648844
345	0.700360634
346	0.7003097281
347	0.7002651934
348	0.700233611
349	0.7002259054
350	0.700219668
351	0.7001999281
352	0.7001776211
353	0.7001685732
354	0.7001418176
355	0.7001061131
356	0.7000853904
357	0.7000587264
358	0.7000530987
359	0.7000419085
360	0.7000148008
361	0.7000056679
362	0.6999848311
363	0.6999768895
364	0.6999389243
365	0.6999098065
366	0.699905416
367	0.6998821759
368	0.699871285
369	0.6998468707
370	0.6998193383
371	0.6997983328
372	0.6997923069
373	0.6997687804
374	0.6997514765
375	0.6997314104
376	0.6997077927
377	0.6996909499
378	0.6996542892
379	0.6996477492
380	0.6995851447
381	0.6995655284
382	0.6995337041
383	0.6995111413
384	0.6994881462
385	0.699475445
386	0.6994425936
387	0.6994290842
388	0.6994128489
389	0.6993779653
390	0.6993599305
391	0.6993489613
392	0.6993343823
393	0.6992954783
394	0.6992607659
395	0.6992488559
396	0.6992331123
397	0.699214281
398	0.6992036574
399	0.6991675352
400	0.699143707
401	0.6991197144
402	0.6991067801
403	0.6990788168
404	0.6990632816
405	0.6990159802
406	0.6989840697
407	0.6989686151
408	0.6989588951
409	0.6989455059
410	0.6989298275
411	0.6989068661
412	0.6988973941
413	0.6988492954
414	0.6988398087
415	0.6988321596
416	0.6988148353
417	0.6987921319
418	0.6987704141
419	0.6987505933
420	0.6987213608
421	0.6986941348
422	0.6986711759
423	0.6986337959
424	0.6986186815
425	0.698596689
426	0.6985679604
427	0.6985471793
428	0.6985370268
429	0.6985114001
430	0.6984945965
431	0.6984748146
432	0.6984455278
433	0.6984187316
434	0.6984052512
435	0.6983982793
436	0.6983809409
437	0.6983772019
438	0.6983580535
439	0.6983413811
440	0.6983320136
441	0.6983165832
442	0.6982891023
443	0.6982791298
444	0.698239946
445	0.6982374661
446	0.6982282906
447	0.6982089213
448	0.6982005401
449	0.6981822137
450	0.6981555245
451	0.6981342173
452	0.6981103569
453	0.6980885513
454	0.6980831077
455	0.698056864
456	0.6980460313
457	0.6980280651
458	0.6980090912
459	0.6979919034
460	0.6979751509
461	0.6979396831
462	0.6979077648
463	0.6978712394
464	0.6978521734
465	0.6978319284
466	0.6978049858
467	0.6977812818
468	0.697770331
469	0.6977480618
470	0.6977388237
471	0.6977076333
472	0.6976898927
473	0.6976747019
474	0.6976644451
475	0.6976178527
476	0.6975925723
477	0.6975704477
478	0.6975621982
479	0.6975581257
480	0.697536906
481	0.6975171082
482	0.69750358
483	0.697471254
484	0.6974628505
485	0.697441333
486	0.6974376851
487	0.6974206869
488	0.6974162078
489	0.6973937738
490	0.697352946
491	0.6973432565
492	0.697330562
493	0.6973206273
494	0.6972995659
495	0.6972724577
496	0.6972488546
497	0.6972324918
498	0.6971971653
499	0.6971791391
500	0.6971515119
501	0.6971422612
502	0.6971209947
503	0.6971169506
504	0.6971034024
505	0.6970900114
506	0.6970648205
507	0.6970313155
508	0.6970181233
509	0.6970007293
510	0.6969796075
511	0.6969571666
512	0.6969144267
513	0.696891546
514	0.6968813832
515	0.6968567719
516	0.69683897
517	0.6968184583
518	0.6967950045
519	0.696772344
520	0.6967597026
521	0.6967473213
522	0.6967427816
523	0.6967213702
524	0.696705552
525	0.6966853782
526	0.6966694258
527	0.6966523157
528	0.6966434521
529	0.696621835
530	0.6966070366
531	0.6965938192
532	0.6965726184
533	0.6965386955
534	0.6965325133
535	0.6964868557
536	0.6964796661
537	0.6964588839
538	0.6964287634
539	0.6964176146
540	0.6963822657
541	0.6963681317
542	0.6963543066
543	0.6963408333
544	0.6963253704
545	0.6963117417
546	0.6962989199
547	0.6962698609
548	0.6962638204
549	0.6962404
550	0.6962368786
551	0.6962108643
552	0.6962016078
553	0.6961673884
554	0.6961498248
555	0.6961453449
556	0.6961258235
557	0.6960919779
558	0.6960808474
559	0.6960763943
560	0.696059254
561	0.6960521524
562	0.6960447889
563	0.6960336117
564	0.696013279
565	0.6959845669
566	0.6959727813
567	0.6959529108
568	0.6959400088
569	0.6959294796
570	0.6959193781
571	0.6958879382
572	0.6958746907
573	0.6958664015
574	0.6958442303
575	0.6958304364
576	0.695810201
577	0.6957932692
578	0.6957803941
579	0.6957694428
580	0.6957586027
581	0.695743573
582	0.6957224175
583	0.6957046946
584	0.6956795725
585	0.6956458761
586	0.6956279323
587	0.6955943639
588	0.6955851859
589	0.6955533515
590	0.6955388886
591	0.6955309726
592	0.695507408
593	0.6954882918
594	0.6954738042
595	0.6954649222
596	0.6954545327
597	0.6954290741
598	0.6954209511
599	0.6953986149
600	0.6953827937
601	0.6953763587
602	0.6953573764
603	0.6953230408
604	0.6953050281
605	0.6952869568
606	0.6952564856
607	0.6952446928
608	0.6952093953
609	0.6951948195
610	0.6951869315
611	0.6951798382
612	0.695148457
613	0.6951267803
614	0.6950956616
615	0.695082553
616	0.6950582538
617	0.6950332697
618	0.6950032969
619	0.6949882229
620	0.6949738815
621	0.694969692
622	0.6949631611
623	0.694948475
624	0.6949259582
625	0.6949152142
626	0.6948978275
627	0.6948890449
628	0.6948788402
629	0.6948684328
630	0.6948451394
631	0.6948216256
632	0.6948108084
633	0.694800768
634	0.6947930827
635	0.6947786961
636	0.694770402
637	0.6947493484
638	0.6947227622
639	0.6947005963
640	0.6946950104
641	0.6946777416
642	0.6946638589
643	0.6946522801
644	0.6946248931
645	0.6946082299
646	0.6945998317
647	0.6945837904
648	0.6945706565
649	0.6945553179
650	0.694546393
651	0.6945280214
652	0.6945183617
653	0.6945122698
654	0.6945018974
655	0.6944865646
656	0.6944730506
657	0.6944576497
658	0.6944429309
659	0.6944274988
660	0.6944190819
661	0.6944057139
662	0.6943929556
663	0.6943731361
664	0.6943671496
665	0.6943460524
666	0.6943193179
667	0.6943104122
668	0.694301765
669	0.6942873836
670	0.6942685547
671	0.6942353063
672	0.6942236196
673	0.6942158625
674	0.6942146223
675	0.6941855125
676	0.6941670231
677	0.6941589613
678	0.6941417793
679	0.6941280051
680	0.6941163216
681	0.6940861899
682	0.6940747805
683	0.6940478796
684	0.6940410634
685	0.6940262809
686	0.6940144072
687	0.6939657409
688	0.6939579222
689	0.693942325
690	0.6939213628
691	0.6939054147
692	0.6938894589
693	0.693867116
694	0.6938529348
695	0.6938492741
696	0.6938415171
697	0.693837495
698	0.6938217356
699	0.6937978409
700	0.6937924327
701	0.6937736468
702	0.6937577726
703	0.6937414734
704	0.6937284984
705	0.6937225425
706	0.6937061376
707	0.6936763913
708	0.6936627869
709	0.6936500861
710	0.6936439939
711	0.6936230937
712	0.6936076025
713	0.693597156
714	0.6935946695
715	0.6935810941
716	0.6935434704
717	0.6935398783
718	0.6935093175
719	0.6935005836
720	0.6934913153
721	0.6934868111
722	0.6934669502
723	0.6934627279
724	0.6934513845
725	0.6934421507
726	0.6934312012
727	0.6934085262
728	0.6933827583
729	0.6933712649
730	0.693347926
731	0.6933227182
732	0.6933014962
733	0.6932860006
734	0.6932511011
735	0.6932280435
736	0.6932243393
737	0.6932181372
738	0.6932077593
739	0.6931890163
740	0.6931722176
741	0.6931606868
742	0.6931592965
743	0.6931342844
744	0.6931248831
745	0.6930966172
746	0.6930736472
747	0.6930667176
748	0.6930251122
749	0.6930165483
750	0.6929986091
751	0.6929844597
752	0.6929580124
753	0.6929508826
754	0.692938343
755	0.6929265542
756	0.6929176645
757	0.6929051678
758	0.692889099
759	0.6928730875
760	0.6928577661
761	0.6928411273
762	0.6928332082
763	0.6928240246
764	0.6927849872
765	0.692773838
766	0.6927644516
767	0.6927587727
768	0.6927549508
769	0.6927488841
770	0.6927419169
771	0.692702294
772	0.6926944806
773	0.6926603224
774	0.6926350157
775	0.6926233458
776	0.6926147772
777	0.6926135659
778	0.6926038166
779	0.6925759321
780	0.6925458161
781	0.6925382306
782	0.6925261031
783	0.6924912938
784	0.6924814828
785	0.6924602239
786	0.6924493057
787	0.6924422124
788	0.692436553
789	0.6924246368
790	0.6924147845
791	0.6924092875
792	0.6923829635
793	0.692375529
794	0.692350945
795	0.6923484056
796	0.6923289297
797	0.6922967815
798	0.6922659705
799	0.6922481389
800	0.6922389446
801	0.6922306283
802	0.6922199884
803	0.6922015931
804	0.6921643599
805	0.6921477732
806	0.6921178504
807	0.6921085238
808	0.6921021371
809	0.6920889034
810	0.6920759385
811	0.6920700613
812	0.6920581511
813	0.6920419498
814	0.6920320932
815	0.6920129622
816	0.6920051451
817	0.6919927966
818	0.6919826871
819	0.6919658266
820	0.6919567362
821	0.6919353777
822	0.6919229626
823	0.6919037698
824	0.6918867007
825	0.6918756278
826	0.6918621708
827	0.6918567322
828	0.6918241182
829	0.6918054897
830	0.6917781297
831	0.6917654455
832	0.6917547543
833	0.6917266867
834	0.6917184675
835	0.691690985
836	0.6916798339
837	0.6916753832
838	0.6916588741
839	0.6916434217
840	0.6916325343
841	0.6916196308
842	0.691609127
843	0.6916060039
844	0.6915876065
845	0.6915803879
846	0.6915609892
847	0.6915437595
848	0.6915417124
849	0.691526647
850	0.6915188304
851	0.6915124038
852	0.6915023926
853	0.6914888842
854	0.6914639396
855	0.691455691
856	0.6914312366
857	0.6914238344
858	0.6913946617
859	0.6913761455
860	0.6913636362
861	0.6913595214
862	0.691343819
863	0.6913291614
864	0.6913191718
865	0.6913046761
866	0.6912980985
867	0.6912772114
868	0.6912539916
869	0.6912386937
870	0.6912259413
871	0.691208815
872	0.691180814
873	0.6911696621
874	0.6911586858
875	0.6911390071
876	0.6911310288
877	0.6911224484
878	0.6911053324
879	0.6910811939
880	0.6910695892
881	0.6910586222
882	0.6910351438
883	0.6910223597
884	0.6910201627
885	0.6910065312
886	0.6909945967
887	0.6909811678
888	0.6909708871
889	0.6909460088
890	0.6909162299
891	0.6909037794
892	0.6908969442
893	0.6908893457
894	0.6908734443
895	0.6908612533
896	0.6908564456
897	0.6908310686
898	0.6908180101
899	0.6908101742
900	0.6907947106
901	0.6907870709
902	0.690774101
903	0.6907653967
904	0.6907619543
905	0.6907502416
906	0.6907469472
907	0.6907379272
908	0.6907339098
909	0.6907289413
910	0.6907171425
911	0.6907049581
912	0.6906759718
913	0.6906651513
914	0.6906565388
915	0.6906467813
916	0.6906395922
917	0.6906305687
918	0.6906246001
919	0.6906138916
920	0.6906058742
921	0.6905997136
922	0.6905885648
923	0.6905811545
924	0.6905593173
925	0.6905351173
926	0.6905220372
927	0.6905107322
928	0.6905056725
929	0.6904759365
930	0.6904597758
931	0.6904430341
932	0.6904139644
933	0.6904075207
934	0.6903852918
935	0.6903719806
936	0.6903664054
937	0.6903557872
938	0.6903479399
939	0.6903458338
940	0.6903231758
941	0.6903177355
942	0.6903041592
943	0.6902927138
944	0.6902797478
945	0.6902732448
946	0.6902596362
947	0.6902480032
948	0.6902381448
949	0.6902308344
